PaperID,PaperDiscipline,StudentLevel,StudentGender,SpeakerStatus,PaperType,CharacterTypes,CitationAuthority,CitationControversy,CitationHedged,CitationNeutral,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,ExpertVocabulary,InformationComparison,InformationQuantities,MethodsResultsDiscussion,PurposePlan,ReaderDirectedMetadiscourse,ReaderDirectedMetadiscourseFP,Reasoning
ENG.G2.05.1,English,Second Year Graduate,M,NS,Critique,1.768,0.025,0.100,0.000,0.176,0.652,0.389,0.013,6.596,0.903,0.614,0.038,0.226,1.944,0.138,1.517
ENG.G2.06.1,English,Second Year Graduate,M,NS,Report,3.398,0.108,0.090,0.000,0.108,0.452,0.289,0.000,4.934,0.307,0.054,0.000,0.145,1.301,0.054,0.994
ENG.G2.07.1,English,Second Year Graduate,F,NS,Report,3.236,0.092,0.239,0.037,0.165,0.717,0.478,0.000,11.565,0.644,0.662,0.055,0.496,2.225,0.221,1.397
ENG.G3.03.1,English,Third Year Graduate,F,NS,Critique,2.143,0.109,0.124,0.031,0.140,0.807,0.699,0.000,4.270,0.792,0.388,0.062,0.606,1.708,0.140,1.444
ENG.G3.04.1,English,Third Year Graduate,F,NS,Essay,1.600,0.062,0.154,0.000,0.123,0.800,0.462,0.092,5.138,0.923,1.046,0.000,0.400,1.846,0.092,1.046
HIS.G0.01.1,History,Final Year Undergraduate,M,NS,Report,2.140,0.143,0.214,0.000,0.143,0.214,0.428,0.000,4.422,1.213,0.856,0.071,0.143,1.997,0.071,0.999
HIS.G0.02.1,History,Final Year Undergraduate,F,NS,Report,5.313,0.079,0.000,0.000,0.476,0.238,0.238,0.000,3.965,0.238,0.793,0.000,0.079,1.507,0.000,1.031
HIS.G0.02.2,History,Final Year Undergraduate,F,NS,Report,2.203,0.000,0.330,0.000,0.110,0.330,0.551,0.000,3.744,1.322,0.441,0.000,0.551,1.101,0.000,1.101
HIS.G0.03.1,History,Final Year Undergraduate,M,NS,Essay,1.856,0.103,0.206,0.000,0.103,0.412,0.619,0.000,5.567,0.515,0.309,0.000,0.722,2.062,0.103,3.196
HIS.G0.03.2,History,Final Year Undergraduate,M,NS,Essay,0.664,0.000,0.332,0.000,0.000,0.498,0.332,0.000,8.472,0.166,0.166,0.166,0.664,2.658,0.000,1.163
HIS.G0.04.1,History,Final Year Undergraduate,F,NS,Essay,3.474,0.089,0.045,0.000,0.178,0.312,0.713,0.000,4.677,0.713,1.336,0.089,0.401,1.648,0.000,0.624
HIS.G1.01.1,History,First Year Graduate,F,NS,Essay,1.926,0.000,0.080,0.000,0.161,0.722,0.241,0.000,7.063,0.642,0.562,0.080,0.321,1.445,0.000,1.445
HIS.G1.02.1,History,First Year Graduate,F,NS,Report,4.372,0.130,0.130,0.000,0.260,1.039,0.779,0.043,7.316,0.649,0.260,0.087,0.173,2.251,0.000,0.866
HIS.G1.03.1,History,First Year Graduate,M,NS,Essay,3.130,0.055,0.262,0.083,0.510,0.317,0.414,0.000,8.853,1.255,0.483,0.041,0.138,2.730,0.028,1.765
HIS.G1.04.1,History,First Year Graduate,F,NNS,Essay,1.834,0.133,0.133,0.000,0.088,0.376,0.707,0.000,6.011,0.994,0.862,0.155,0.177,1.746,0.177,0.884
HIS.G1.05.1,History,First Year Graduate,F,NS,Report,3.285,0.131,0.197,0.000,0.197,0.756,0.493,0.000,5.848,0.657,0.723,0.099,0.230,1.807,0.000,1.216
HIS.G1.05.2,History,First Year Graduate,F,NS,Critique,2.478,0.184,0.275,0.000,0.184,0.642,0.367,0.000,6.241,0.734,0.367,0.092,0.229,1.331,0.000,1.514
HIS.G1.06.1,History,First Year Graduate,F,NS,Report,3.791,0.146,0.292,0.036,0.219,1.057,0.219,0.000,5.286,1.203,0.255,0.109,0.182,1.312,0.000,0.510
HIS.G1.07.1,History,First Year Graduate,M,NS,Report,1.121,0.306,0.000,0.000,0.408,0.815,0.917,0.000,8.563,1.631,0.102,0.204,0.306,1.529,0.102,0.714
HIS.G1.07.2,History,First Year Graduate,M,NS,Report,1.445,0.000,0.076,0.076,0.000,0.684,0.532,0.000,4.867,0.837,0.304,0.076,0.456,1.749,0.000,1.825
HIS.G1.08.1,History,First Year Graduate,M,NS,Report,2.005,0.137,0.274,0.034,0.291,0.343,0.394,0.000,8.088,1.028,0.891,0.051,0.291,2.467,0.000,1.439
HIS.G1.09.1,History,First Year Graduate,M,NS,Report,2.467,0.027,0.136,0.054,0.136,0.868,0.597,0.027,4.610,0.678,0.895,0.054,0.434,2.034,0.054,0.651
HIS.G1.10.1,History,First Year Graduate,M,NNS,Critique,2.522,0.239,0.136,0.000,0.068,0.716,0.818,0.000,6.135,0.852,0.409,0.102,0.239,1.363,0.375,1.772
HIS.G2.01.1,History,Second Year Graduate,M,NS,Report,2.041,0.017,0.279,0.052,0.122,0.297,0.262,0.000,6.926,1.064,0.279,0.017,0.244,1.308,0.000,1.012
HIS.G2.02.1,History,Second Year Graduate,M,NS,Report,4.801,0.071,0.549,0.018,0.266,0.638,0.638,0.000,5.066,1.275,0.213,0.071,0.248,1.736,0.000,1.488
HIS.G2.03.1,History,Second Year Graduate,F,NS,ResponsePaper,5.779,0.000,0.516,0.000,0.516,0.413,0.619,0.000,4.231,1.135,0.413,0.000,0.413,1.445,0.000,1.858
HIS.G2.03.2,History,Second Year Graduate,F,NS,Report,5.269,0.090,0.144,0.000,0.289,0.307,0.361,0.000,5.251,0.866,0.541,0.018,0.325,1.877,0.036,0.992
HIS.G2.04.1,History,Second Year Graduate,M,NS,Essay,2.702,0.021,0.262,0.000,0.251,0.293,0.346,0.010,5.614,0.765,0.241,0.000,0.230,1.875,0.168,1.278
HIS.G2.05.1,History,Second Year Graduate,F,NS,Essay,2.964,0.065,0.076,0.011,0.545,0.872,0.458,0.011,4.925,1.199,0.501,0.044,0.327,2.103,0.000,0.752
HIS.G3.01.1,History,Third Year Graduate,F,NS,Report,3.704,0.156,0.487,0.078,0.195,0.507,0.214,0.000,5.302,0.546,0.234,0.039,0.370,1.501,0.097,1.189
HIS.G3.02.1,History,Third Year Graduate,F,NS,Report,3.193,0.064,0.073,0.000,0.200,0.327,0.372,0.000,5.135,0.853,0.544,0.045,0.372,1.569,0.036,0.980
IOE.G0.01.1,Industrial and Operational Engineering,Final Year Undergraduate,F,NS,Proposal,1.793,0.000,0.000,0.000,0.120,0.359,0.000,0.000,5.260,1.016,1.255,0.179,0.837,1.076,0.418,1.853
IOE.G0.02.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,ResearchPaper,1.056,0.066,0.000,0.000,0.033,0.627,0.264,0.000,5.743,1.947,3.630,0.957,0.429,1.650,0.000,2.013
IOE.G0.03.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Critique,3.041,0.487,0.000,0.000,0.000,0.487,0.122,0.000,7.664,0.608,4.258,1.338,1.095,1.338,0.000,1.582
IOE.G0.03.2,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Critique,0.156,0.313,0.000,0.104,0.052,0.156,0.521,0.000,9.536,1.042,4.169,0.625,1.199,1.928,0.000,1.876
IOE.G0.04.1,Industrial and Operational Engineering,Final Year Undergraduate,F,NS,Proposal,4.706,0.217,0.029,0.014,0.101,0.476,0.159,0.000,5.673,0.635,1.242,0.780,0.679,1.790,0.029,1.559
IOE.G0.05.1,Industrial and Operational Engineering,Final Year Undergraduate,F,NS,ResearchPaper,3.842,0.037,0.073,0.000,0.256,0.732,0.512,0.000,7.647,1.537,1.683,0.915,1.098,1.281,0.000,1.427
IOE.G0.06.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Report,2.877,0.020,0.020,0.000,0.059,0.352,0.352,0.000,5.988,0.548,0.998,0.157,1.233,1.213,0.020,1.331
IOE.G0.07.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Report,1.873,0.250,0.031,0.031,0.250,0.593,0.468,0.062,2.841,1.155,1.780,0.437,0.500,1.592,0.125,1.280
IOE.G0.08.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Proposal,1.709,0.190,0.000,0.000,0.000,0.823,0.127,0.000,4.304,1.139,1.329,0.443,1.076,1.709,0.316,1.582
IOE.G0.09.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Critique,2.240,0.172,0.000,0.000,0.000,0.230,0.230,0.000,5.284,0.402,2.412,0.689,0.919,1.436,0.000,1.493
IOE.G0.10.1,Industrial and Operational Engineering,Final Year Undergraduate,F,NS,ResearchPaper,2.020,0.337,0.000,0.000,0.000,0.421,0.210,0.000,4.840,1.305,2.231,2.609,0.547,1.431,0.042,2.820
IOE.G0.11.1,Industrial and Operational Engineering,Final Year Undergraduate,F,NS,Proposal,1.210,0.029,0.000,0.000,0.086,0.662,0.461,0.058,2.477,0.835,1.181,0.029,0.778,1.382,0.029,1.094
IOE.G0.12.1,Industrial and Operational Engineering,Final Year Undergraduate,F,NNS,Report,1.925,0.000,0.000,0.000,0.000,0.770,0.077,0.000,4.388,2.463,3.310,1.001,1.078,1.540,0.077,2.156
IOE.G0.12.2,Industrial and Operational Engineering,Final Year Undergraduate,F,NNS,Proposal,2.121,0.265,0.000,0.000,0.133,0.265,0.000,0.000,5.126,0.530,1.105,0.265,0.795,1.414,0.000,1.768
IOE.G0.13.1,Industrial and Operational Engineering,Final Year Undergraduate,M,NS,Report,2.385,0.027,0.080,0.000,0.027,0.663,0.053,0.000,4.744,0.292,0.477,0.451,1.087,1.590,0.000,1.908
IOE.G1.01.1,Industrial and Operational Engineering,First Year Graduate,M,NS,ResearchPaper,0.885,0.169,0.000,0.084,0.169,0.422,0.295,0.000,4.300,0.970,1.855,0.675,0.632,1.138,0.000,1.728
IOE.G1.02.1,Industrial and Operational Engineering,First Year Graduate,F,NNS,ResponsePaper,1.039,0.094,0.094,0.000,0.189,0.378,0.094,0.000,4.438,1.133,1.133,0.944,0.472,1.133,0.000,1.228
IOE.G1.02.2,Industrial and Operational Engineering,First Year Graduate,F,NNS,ResearchPaper,0.811,0.270,0.000,0.000,0.000,0.180,0.450,0.000,6.937,1.622,2.883,0.541,1.261,1.261,0.000,0.991
IOE.G1.02.3,Industrial and Operational Engineering,First Year Graduate,F,NNS,Critique,0.181,0.310,0.026,0.000,0.207,0.957,0.388,0.000,6.725,2.276,0.879,0.362,0.414,1.578,0.000,2.328
IOE.G1.02.4,Industrial and Operational Engineering,First Year Graduate,F,NNS,ResearchPaper,0.471,0.353,0.000,0.000,0.118,0.648,0.177,0.000,6.184,2.415,1.355,0.707,0.294,1.767,0.000,1.531
IOE.G1.03.1,Industrial and Operational Engineering,First Year Graduate,M,NS,Report,1.569,0.262,0.105,0.052,0.052,0.471,0.680,0.000,4.550,1.308,0.209,0.052,0.889,2.301,0.262,1.151
IOE.G1.04.1,Industrial and Operational Engineering,First Year Graduate,F,NNS,Report,3.458,0.116,0.026,0.000,0.129,0.296,0.553,0.013,4.897,1.003,0.450,0.064,0.566,1.504,0.026,1.710
IOE.G1.05.1,Industrial and Operational Engineering,First Year Graduate,M,NNS,Report,1.077,0.072,0.029,0.029,0.129,1.034,0.660,0.014,7.911,1.350,0.258,0.144,0.431,1.709,0.014,1.838
IOE.G1.05.2,Industrial and Operational Engineering,First Year Graduate,M,NNS,Report,2.160,0.183,0.073,0.000,0.146,0.476,0.732,0.000,4.577,0.549,0.293,0.330,0.696,1.501,0.000,1.684
IOE.G1.06.1,Industrial and Operational Engineering,First Year Graduate,F,NNS,Report,1.115,0.000,0.000,0.000,0.186,1.115,0.620,0.000,7.807,1.301,0.248,0.310,0.743,2.045,0.000,2.230
IOE.G1.07.1,Industrial and Operational Engineering,First Year Graduate,F,NS,ResearchPaper,1.344,0.071,0.000,0.000,0.071,0.495,0.141,0.000,10.785,0.636,1.167,0.813,0.530,1.733,0.000,1.556
IOE.G1.08.1,Industrial and Operational Engineering,First Year Graduate,M,NS,ResearchPaper,0.685,0.093,0.062,0.000,0.156,1.276,0.467,0.000,7.532,2.521,1.027,0.529,0.622,1.867,0.000,2.832
IOE.G1.09.1,Industrial and Operational Engineering,First Year Graduate,M,NNS,Report,2.785,0.152,0.000,0.000,0.304,0.354,0.608,0.000,4.911,2.127,1.316,0.304,0.709,1.063,0.152,2.025
IOE.G1.10.1,Industrial and Operational Engineering,First Year Graduate,M,NNS,ResponsePaper,1.337,0.000,0.000,0.000,0.149,0.892,0.149,0.000,4.903,3.120,1.040,0.000,1.783,1.337,0.000,1.486
IOE.G1.10.2,Industrial and Operational Engineering,First Year Graduate,M,NNS,Report,3.358,0.000,0.000,0.000,0.124,0.746,0.622,0.000,7.338,0.871,0.622,0.124,0.498,0.871,0.000,1.741
IOE.G1.11.1,Industrial and Operational Engineering,First Year Graduate,M,NNS,Report,0.159,0.159,0.000,0.000,0.478,0.159,0.318,0.000,5.255,1.592,1.752,0.955,1.752,1.752,0.000,3.662
IOE.G1.11.2,Industrial and Operational Engineering,First Year Graduate,M,NNS,Report,0.550,0.110,0.110,0.000,0.000,0.330,0.110,0.000,6.821,0.880,1.320,2.090,0.880,1.870,0.000,2.200
IOE.G2.01.1,Industrial and Operational Engineering,Second Year Graduate,M,NS,ResearchPaper,0.127,0.253,0.000,0.000,0.190,0.697,0.665,0.000,11.241,1.425,1.647,1.362,1.710,1.647,0.000,1.267
IOE.G2.01.2,Industrial and Operational Engineering,Second Year Graduate,M,NS,Report,3.518,0.145,0.000,0.048,0.048,1.060,0.193,0.000,8.000,1.253,0.434,0.096,0.337,2.313,0.048,1.831
IOE.G2.01.3,Industrial and Operational Engineering,Second Year Graduate,M,NS,Critique,4.123,0.045,0.045,0.045,0.000,0.861,0.362,0.000,6.706,1.541,0.498,0.091,0.589,2.130,0.000,1.087
IOE.G2.02.1,Industrial and Operational Engineering,Second Year Graduate,M,NS,Report,0.163,0.653,0.163,0.000,0.163,0.489,1.305,0.000,7.830,0.489,0.653,0.000,0.653,1.305,0.000,2.773
IOE.G2.02.2,Industrial and Operational Engineering,Second Year Graduate,M,NS,Essay,1.546,0.000,0.000,0.000,0.773,1.289,0.258,0.000,9.278,1.546,0.515,0.515,0.773,1.804,0.000,1.289
IOE.G2.02.3,Industrial and Operational Engineering,Second Year Graduate,M,NS,ResponsePaper,1.128,0.125,0.125,0.000,0.125,1.003,1.378,0.000,7.268,1.128,1.128,0.251,0.627,1.629,0.000,1.504
IOE.G2.03.1,Industrial and Operational Engineering,Second Year Graduate,F,NS,ResearchPaper,0.211,0.133,0.000,0.000,0.144,1.211,0.678,0.000,6.998,1.111,1.222,0.244,0.611,2.055,0.189,2.055
IOE.G2.04.2,Industrial and Operational Engineering,Second Year Graduate,F,NS,Critique,0.864,0.378,0.000,0.000,0.054,0.756,0.378,0.000,4.916,1.189,1.405,0.270,1.189,1.891,0.000,1.135
IOE.G3.01.1,Industrial and Operational Engineering,Third Year Graduate,M,NS,ResearchPaper,0.549,0.095,0.019,0.000,0.095,0.587,0.170,0.000,7.858,2.083,1.610,1.742,0.587,1.420,0.057,2.632
IOE.G3.03.1,Industrial and Operational Engineering,Third Year Graduate,M,NS,Report,0.786,0.079,0.039,0.000,0.020,0.746,0.255,0.020,6.678,1.198,1.611,0.020,0.845,1.768,0.000,0.982
LIN.G0.01.1,Linguistics,Final Year Undergraduate,F,NS,ResearchPaper,0.632,0.181,0.000,0.000,0.090,0.632,0.361,0.000,9.928,1.264,0.542,0.271,0.181,1.895,0.632,1.805
LIN.G0.01.2,Linguistics,Final Year Undergraduate,F,NS,Proposal,2.481,0.000,0.000,0.000,0.171,0.513,0.342,0.000,5.902,0.941,0.599,0.086,0.770,1.112,0.086,0.770
LIN.G0.02.1,Linguistics,Final Year Undergraduate,F,NS,Essay,2.722,0.170,0.068,0.000,0.204,0.510,0.646,0.000,9.629,1.599,1.123,0.068,0.136,1.735,0.000,1.327
LIN.G0.03.1,Linguistics,Final Year Undergraduate,F,NS,ResearchPaper,1.193,0.161,0.218,0.032,0.556,1.451,0.822,0.016,6.536,1.563,1.185,0.185,0.548,2.675,0.169,1.749
LIN.G0.04.1,Linguistics,Final Year Undergraduate,F,NNS,ResearchPaper,1.194,0.066,0.033,0.000,0.199,0.995,0.564,0.000,5.603,1.293,1.028,0.099,0.564,2.553,0.099,0.829
LIN.G0.05.1,Linguistics,Final Year Undergraduate,F,NS,Report,2.370,0.024,0.024,0.000,0.072,0.503,0.574,0.000,5.002,1.269,0.359,0.024,0.215,1.843,0.120,1.556
LIN.G0.06.1,Linguistics,Final Year Undergraduate,M,NS,Report,1.877,0.045,0.090,0.000,0.225,0.556,0.390,0.000,12.855,1.231,0.481,0.045,0.420,1.892,0.255,1.352
LIN.G0.06.2,Linguistics,Final Year Undergraduate,M,NS,ResponsePaper,2.083,0.099,0.000,0.000,0.099,0.893,0.198,0.000,11.706,1.488,1.091,0.000,0.397,2.976,0.298,1.190
LIN.G0.06.3,Linguistics,Final Year Undergraduate,M,NS,Report,2.836,0.000,0.000,0.000,0.062,1.541,0.493,0.000,11.221,0.555,1.171,0.185,0.493,1.665,0.123,1.048
LIN.G0.07.1,Linguistics,Final Year Undergraduate,F,NS,ResearchPaper,1.044,0.131,0.033,0.000,0.065,1.012,0.783,0.065,6.625,1.632,1.208,0.196,0.392,2.513,0.392,1.534
LIN.G0.07.2,Linguistics,Final Year Undergraduate,F,NS,Report,2.749,0.245,0.049,0.000,0.147,0.295,0.196,0.000,8.247,1.964,2.553,0.147,0.344,1.915,0.000,1.276
LIN.G0.07.3,Linguistics,Final Year Undergraduate,F,NS,Report,3.134,0.101,0.051,0.000,0.354,1.314,0.657,0.000,7.533,1.871,1.871,0.101,0.758,2.275,0.000,2.882
LIN.G0.08.1,Linguistics,Final Year Undergraduate,F,NS,ResearchPaper,4.643,0.084,0.127,0.021,0.232,0.823,0.380,0.000,10.405,1.456,0.528,0.000,0.802,2.132,0.084,1.477
LIN.G0.09.1,Linguistics,Final Year Undergraduate,F,NS,Report,2.004,0.051,0.026,0.000,0.591,0.745,0.283,0.000,7.246,0.951,0.745,0.077,0.411,2.826,0.000,2.441
LIN.G0.10.1,Linguistics,Final Year Undergraduate,F,NS,Proposal,2.575,0.123,0.000,0.000,0.123,1.165,0.490,0.000,9.135,0.552,0.307,0.061,1.042,1.471,0.429,0.981
LIN.G0.10.2,Linguistics,Final Year Undergraduate,F,NS,ResearchPaper,0.928,0.384,0.000,0.032,0.128,0.864,0.416,0.032,10.848,1.312,1.280,0.160,0.608,1.696,0.256,2.048
LIN.G0.11.1,Linguistics,Final Year Undergraduate,F,NS,Critique,1.820,0.121,0.121,0.000,0.243,0.485,1.214,0.000,7.403,0.728,0.607,0.000,0.364,2.427,0.000,1.820
LIN.G0.12.1,Linguistics,Final Year Undergraduate,F,NS,Essay,3.307,0.129,0.052,0.000,0.052,0.568,0.439,0.000,7.855,1.085,0.982,0.026,0.672,1.654,0.078,1.344
LIN.G0.13.1,Linguistics,Final Year Undergraduate,F,NS,Report,1.800,0.229,0.098,0.000,0.164,1.014,0.196,0.000,9.588,0.884,1.145,0.393,1.113,2.749,0.131,1.832
LIN.G0.14.1,Linguistics,Final Year Undergraduate,F,NS,ResponsePaper,2.261,0.000,0.000,0.000,0.514,0.411,0.822,0.000,4.625,1.028,0.308,0.206,0.103,2.364,0.308,1.131
LIN.G1.01.1,Linguistics,First Year Graduate,M,NS,ResearchPaper,0.023,0.186,0.000,0.000,0.116,0.978,0.908,0.000,8.547,1.863,1.467,0.489,0.442,1.886,0.093,3.097
LIN.G1.01.2,Linguistics,First Year Graduate,M,NS,ResearchPaper,0.150,0.075,0.000,0.000,0.000,0.562,1.012,0.000,9.667,2.810,1.948,0.337,0.712,1.686,0.187,2.136
LIN.G1.01.3,Linguistics,First Year Graduate,M,NS,ResearchPaper,0.278,0.116,0.139,0.000,0.023,0.719,0.441,0.000,10.002,2.135,1.184,0.348,0.487,2.762,0.093,2.042
LIN.G1.01.4,Linguistics,First Year Graduate,M,NS,ResearchPaper,0.120,0.299,0.120,0.000,0.179,0.837,0.957,0.000,10.766,2.153,1.555,0.179,0.419,2.333,0.060,2.512
LIN.G1.01.5,Linguistics,First Year Graduate,M,NS,ResearchPaper,0.321,0.178,0.071,0.000,0.107,1.354,0.534,0.000,8.586,1.211,1.603,0.321,0.499,1.959,0.000,1.888
LIN.G1.02.1,Linguistics,First Year Graduate,M,NS,Essay,0.468,0.108,0.216,0.000,0.072,0.901,0.613,0.000,8.865,0.865,0.252,0.108,0.288,2.270,0.144,1.009
LIN.G1.02.2,Linguistics,First Year Graduate,M,NS,Report,0.967,0.125,0.054,0.000,0.251,0.788,0.251,0.000,9.332,1.021,1.540,0.000,0.197,2.257,0.072,1.236
LIN.G1.03.1,Linguistics,First Year Graduate,M,NS,Essay,0.584,0.031,0.615,0.000,0.092,0.891,0.400,0.000,11.094,0.645,0.522,0.031,0.645,1.875,0.031,1.629
LIN.G1.05.1,Linguistics,First Year Graduate,M,NS,ResearchPaper,0.899,0.155,0.155,0.000,0.031,0.620,0.589,0.000,11.097,0.930,1.085,0.031,0.589,2.573,0.000,1.643
LIN.G1.06.1,Linguistics,First Year Graduate,F,NS,ResearchPaper,0.349,0.000,0.116,0.000,0.349,0.892,0.582,0.000,10.779,1.784,0.698,0.349,0.271,2.753,0.078,1.590
LIN.G1.06.2,Linguistics,First Year Graduate,F,NS,Proposal,1.046,0.209,0.063,0.021,0.105,0.648,0.397,0.000,11.251,1.736,0.439,0.669,0.669,2.698,0.021,1.757
LIN.G1.06.3,Linguistics,First Year Graduate,F,NS,Report,0.391,0.130,0.652,0.016,0.424,0.897,0.424,0.000,9.607,1.289,0.359,0.049,0.375,2.496,0.114,2.675
LIN.G1.06.4,Linguistics,First Year Graduate,F,NS,Critique,0.107,0.036,0.374,0.018,0.321,1.086,0.392,0.000,9.724,1.371,0.606,0.018,0.481,2.814,0.160,1.959
LIN.G2.01.1,Linguistics,Second Year Graduate,F,NNS,Report,1.998,0.042,0.187,0.062,0.187,0.853,0.375,0.042,8.408,1.041,0.874,0.021,0.250,1.644,0.562,1.436
LIN.G2.01.2,Linguistics,Second Year Graduate,F,NNS,Proposal,0.851,0.059,0.088,0.000,0.117,0.616,0.675,0.000,14.734,1.409,1.145,0.528,0.646,1.673,0.264,2.025
LIN.G2.01.3,Linguistics,Second Year Graduate,F,NNS,Report,0.142,0.177,0.248,0.000,0.390,0.850,0.850,0.000,9.316,0.921,0.248,0.000,0.283,2.338,0.461,1.913
LIN.G2.02.1,Linguistics,Second Year Graduate,F,NS,Critique,1.218,0.079,0.358,0.013,0.172,0.794,0.424,0.000,9.044,0.927,1.430,0.053,0.358,2.436,0.172,2.079
LIN.G2.03.1,Linguistics,Second Year Graduate,M,NS,ResearchPaper,0.604,0.235,0.168,0.000,0.134,1.107,0.436,0.000,10.503,1.074,1.342,0.168,0.570,1.913,0.134,1.946
LIN.G3.01.1,Linguistics,Third Year Graduate,F,NNS,Report,1.785,0.066,0.000,0.000,0.198,0.463,0.463,0.000,7.601,0.859,0.595,0.198,0.727,1.983,0.000,2.049
LIN.G3.01.2,Linguistics,Third Year Graduate,F,NNS,Report,2.117,0.107,0.118,0.011,0.224,0.396,0.481,0.000,11.192,1.336,1.069,0.086,0.139,1.668,0.096,0.941
LIN.G3.02.1,Linguistics,Third Year Graduate,F,NNS,ResearchPaper,2.078,0.099,0.000,0.000,0.049,0.594,0.148,0.000,11.430,0.643,1.089,0.544,0.396,1.583,0.099,1.039
MEC.G0.02.1,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.825,0.137,0.000,0.000,0.000,0.137,0.412,0.000,8.660,0.687,1.924,1.237,0.481,1.856,0.069,1.031
MEC.G0.03.1,Mechanical Engineering,Final Year Undergraduate,M,NS,Proposal,0.682,0.000,0.000,0.000,0.227,0.852,0.057,0.000,5.000,1.080,4.659,1.080,1.193,1.307,0.000,0.795
MEC.G0.04.1,Mechanical Engineering,Final Year Undergraduate,F,NS,ResearchPaper,0.346,0.133,0.000,0.000,0.080,0.824,0.133,0.000,9.226,1.170,1.356,0.851,0.638,1.595,0.027,1.728
MEC.G0.05.1,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.100,0.166,0.000,0.000,0.033,0.632,0.266,0.000,10.216,1.198,2.529,1.165,0.832,1.398,0.000,1.597
MEC.G0.06.1,Mechanical Engineering,Final Year Undergraduate,M,NS,Report,0.477,0.049,0.000,0.000,0.061,1.126,0.441,0.000,6.512,1.383,0.820,0.208,0.955,1.738,0.086,1.077
MEC.G0.07.1,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.894,0.045,0.000,0.000,0.000,0.983,0.671,0.000,7.287,0.626,1.654,1.296,1.118,1.833,0.134,1.252
MEC.G0.08.1,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,1.688,0.195,0.032,0.032,0.065,0.747,0.195,0.000,7.338,1.656,2.208,0.747,0.747,0.942,0.032,1.623
MEC.G0.08.2,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.111,0.074,0.037,0.000,0.074,1.188,0.260,0.037,9.989,1.225,1.374,1.077,0.557,1.337,0.037,1.337
MEC.G0.08.3,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.579,0.048,0.145,0.000,0.241,0.434,0.096,0.000,7.381,0.965,2.123,1.061,0.482,1.640,0.000,1.930
MEC.G0.08.4,Mechanical Engineering,Final Year Undergraduate,M,NS,Report,0.000,0.063,0.000,0.000,0.126,0.188,0.188,0.000,9.862,1.570,2.261,1.068,0.377,1.068,0.126,0.691
MEC.G0.08.5,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.000,0.000,0.000,0.000,0.000,0.307,0.307,0.000,8.784,1.658,3.440,0.860,0.491,1.536,0.061,0.553
MEC.G0.08.6,Mechanical Engineering,Final Year Undergraduate,M,NS,ResearchPaper,0.057,0.171,0.000,0.000,0.000,0.513,0.000,0.000,9.127,1.825,1.940,1.198,0.171,0.799,0.057,1.027
MEC.G0.10.1,Mechanical Engineering,Final Year Undergraduate,F,NNS,ResearchPaper,0.344,0.049,0.098,0.098,0.098,0.246,0.393,0.000,13.317,1.229,1.523,1.130,0.786,1.327,0.098,2.408
MEC.G0.11.1,Mechanical Engineering,Final Year Undergraduate,F,NS,Report,0.000,0.153,0.000,0.000,0.102,0.102,0.255,0.000,7.865,0.817,1.992,1.736,0.511,1.021,0.204,1.328
MEC.G0.11.2,Mechanical Engineering,Final Year Undergraduate,F,NS,ResearchPaper,1.155,0.112,0.000,0.037,0.075,0.112,0.298,0.000,7.601,1.453,2.459,0.857,0.410,2.235,0.447,1.714
MEC.G0.12.1,Mechanical Engineering,Final Year Undergraduate,F,NS,Report,0.000,0.117,0.000,0.000,0.000,0.820,0.351,0.000,12.529,0.820,0.937,0.234,0.703,1.756,0.000,1.522
MEC.G1.01.1,Mechanical Engineering,First Year Graduate,M,NS,ResearchPaper,0.220,0.244,0.024,0.000,0.146,0.952,0.391,0.000,8.348,0.805,1.440,0.561,0.708,1.538,0.000,1.342
MEC.G1.02.1,Mechanical Engineering,First Year Graduate,M,NNS,Proposal,0.513,0.000,0.000,0.000,0.047,0.793,0.233,0.000,4.895,1.399,1.305,0.513,0.559,1.725,0.186,1.585
MEC.G1.03.1,Mechanical Engineering,First Year Graduate,F,NS,Report,1.609,0.033,0.000,0.000,0.066,0.723,0.312,0.000,9.805,0.920,0.328,0.361,0.985,1.692,0.000,1.067
MEC.G1.04.1,Mechanical Engineering,First Year Graduate,M,NNS,Proposal,1.457,0.046,0.015,0.000,0.061,0.531,0.197,0.000,5.935,0.835,1.138,0.258,0.683,1.275,0.106,1.351
